theta,unregulated_barrier,sber_style_barrier
2.858282694849230587e+00,2.579935144803969571e+00,1.796302857458384583e+00
2.870874248571033238e+00,2.664942406847309986e+00,1.875757680177263076e+00
2.883465802292835889e+00,2.754559049663896975e+00,1.964499548981623489e+00
2.896057356014638984e+00,2.849217162116139956e+00,2.064755452801144919e+00
2.908648909736441635e+00,2.949417394552911187e+00,2.179668664742217654e+00
2.921240463458244285e+00,3.055744194800708691e+00,2.313869800219344075e+00
2.933832017180046936e+00,3.168885532710863373e+00,2.474570746669818799e+00
2.946423570901850031e+00,3.289658799695716063e+00,2.673884732888632154e+00
2.959015124623652682e+00,3.419045358611879859e+00,2.934505789004979714e+00
2.971606678345455332e+00,3.558237460458449242e+00,3.307052037798676292e+00
2.984198232067258427e+00,3.708703251881164675e+00,3.949554858380667888e+00
2.996789785789061078e+00,3.872278948715920155e+00,6.992943734444249770e+00
3.009381339510863729e+00,4.051303050739783806e+00,3.983819510385357088e+00
3.021972893232666380e+00,4.248817938441442621e+00,3.228861842274507676e+00
3.034564446954469474e+00,4.468884023250716098e+00,2.774155724511006227e+00
3.047156000676272125e+00,4.717091446792970544e+00,2.436188600211456556e+00
3.059747554398074776e+00,5.001440133202839533e+00,2.158170373625739380e+00
3.072339108119877871e+00,5.333960760463752671e+00,1.914257459725219324e+00
3.084930661841680521e+00,5.733979723832527853e+00,1.689809986053832702e+00
3.097522215563483172e+00,6.235550981043380681e+00,1.475019015018414148e+00
3.110113769285285823e+00,6.907702454492017807e+00,1.262234326842789356e+00
3.122705323007088918e+00,7.928825130532117349e+00,1.044564563209242625e+00
3.135296876728891569e+00,1.012578545059945156e+01,8.149290698651533438e-01
3.147888430450694219e+00,1.012578545059967006e+01,5.651818689227600112e-01
3.160479984172497314e+00,7.928825130532143106e+00,2.850153356246442615e-01
3.173071537894299965e+00,6.907702454492062216e+00,-3.977398773424010298e-02
3.185663091616102616e+00,6.235550981043412655e+00,-4.305534452666934242e-01
3.198254645337905266e+00,5.733979723832552722e+00,-9.230872706543165052e-01
3.210846199059708361e+00,5.333960760463759776e+00,-1.586973070493024940e+00
3.223437752781511012e+00,5.001440133202855520e+00,-2.596057644257185881e+00
3.236029306503313663e+00,4.717091446792985643e+00,-4.718443384832698761e+00
3.248620860225116758e+00,4.468884023250720539e+00,-5.028064176985896694e+00
3.261212413946919408e+00,4.248817938441454167e+00,-2.770684392785175643e+00
3.273803967668722059e+00,4.051303050739793576e+00,-1.781691923414342904e+00
