ref	commit	lean_source_count
refs/remotes/upstream/codex/logos-partiture-poset	e7f4c62181348eddc5d91550eaa44475101e8060	21325
refs/remotes/upstream/codex/mellin-wavelet-scale-shape-bridge	94b8d9b516fbb25b241cba07c18776ec9af78d20	15649
refs/remotes/upstream/codex/native-zorn-tkk-exceptional-socket	66b66aa7b02b21d125d45458f582cef963e40546	21299
refs/remotes/upstream/codex/noncommutative-duhamel-edge	5509123106255ab7796223c03d8cef880d79fc1c	21316
refs/remotes/upstream/codex/noncommutative-duhamel-frechet	3b16bc453dd04112c4f6c4398900a3faa3f5cff8	21319
refs/remotes/upstream/codex/riemann-zeta-geometric-dynamics	9aff858de8a17dccd2640e4a99cf20090d9f66c5	21299
refs/remotes/upstream/codex/z3-fib-btc-bridge	851184099adb5931d5329910716b069cb5e89b34	3213
refs/remotes/upstream/complex-kramers-klein-pin55-multigrading	b6a12df00f8ca18976662822021e557499072a8e	21341
refs/remotes/upstream/consolidate/class2	853ee0baa46be4db5d1fc1726ba1374bc02c9e5d	19277
refs/remotes/upstream/copilot/add-drazin-projector-properties	db2741fcbdfbb619937a7d32df64d83483ab45ad	1611
refs/remotes/upstream/copilot/add-heisenberg-to-five-grading-bridge	9a77a23897e86ad2a86b5c6884f987b6fb0b919b	1802
refs/remotes/upstream/cyclotomic24-operator-spine	390ba42cfcb19708c928defdca44ff8dd5bd40ce	21304
refs/remotes/upstream/feat/grand-partition-polynomial	cd9cda2e72378ba6100dfb7a92d03193f7a04e70	15656
refs/remotes/upstream/feat/split-octonion-logit-bayes	dbdd5981805b777ae570ffbfcc21ab8e5b312c1e	15649
refs/remotes/upstream/finite-logdet-stabilization	a662ab38f546eb17e086e5a2a2ce899f0a8c16e5	2194
refs/remotes/upstream/fix/entropic-inference-marginal-assemble	e672ff1c8310c07369df410def6f15da62e0fba7	90
refs/remotes/upstream/formalize-cayley-surprisal-flux-audit	a51703bbf6eac9c9e356a5be6a941a3a35eef2d5	21299
refs/remotes/upstream/formalize-dual-flow-boundaries	d56afc0adcb8d5d3fbe5b1a98bdc746acd6f7590	19768
refs/remotes/upstream/formalize-positional-encoding-representations	e040cce9d9b4f5ce47ad2ca806a64d7724c85aca	21299
refs/remotes/upstream/formalize/h3zorn-freudenthal-quartic	3033e9cce35ad71b11b47d9ccda90a292efca883	19707
refs/remotes/upstream/formalize/twinwave-doubled-schur-bridge	a2b0af4c50550febf1a46b2eb696c05e9dbf1abd	19706
refs/remotes/upstream/four-majorana-pfaffian-matching	96cf369654dc5f65ce2e4306c3f0c003e5615722	21299
refs/remotes/upstream/freudenthal-generic-jacobi-closure	fe63539a0769ae748d0d40eae401805a7c7570df	20323
refs/remotes/upstream/freudenthal-symplectic-contact-lie-representation	cc22376e8a7be49c98d2e42a5cbe08e25db1e25a	21329
refs/remotes/upstream/fusion/upstream-intake-20260419	8a21ddf205515edba35832f9cffc3ce50698e126	951
refs/remotes/upstream/g2-fin189-orbit-membership-certificate	c698c5ff22c246e274a8498fb036e5ccfb242a43	20092
refs/remotes/upstream/g2-h3zorn-entrywise-embedding	57799efa282f6613281406b5e81e0f31e378b97f	21305
