score10	date	path	module	total_importers	canonical_importers	in_canonical_all	days_stale
0117	2026-02-27	lean/InfoGeometry/Canonical/Projective.lean	InfoGeometry.Canonical.Projective	1	1	1	8
0117	2026-02-27	lean/InfoGeometry/Canonical/Foundations.lean	InfoGeometry.Canonical.Foundations	1	1	1	8
0117	2026-02-27	lean/InfoGeometry/Canonical/DualConnections.lean	InfoGeometry.Canonical.DualConnections	1	1	1	8
0117	2026-02-27	lean/InfoGeometry/Canonical/Algebra.lean	InfoGeometry.Canonical.Algebra	1	1	1	8
0116	2026-02-28	lean/InfoGeometry/Canonical/Thermo.lean	InfoGeometry.Canonical.Thermo	1	1	1	7
0116	2026-02-28	lean/InfoGeometry/Canonical/Statistics.lean	InfoGeometry.Canonical.Statistics	1	1	1	7
0114	2026-02-22	lean/InfoGeometry/Core/SymmetricLieGeneric.lean	InfoGeometry.Core.SymmetricLieGeneric	3	2	1	13
0113	2026-03-06	lean/InfoGeometry/Canonical/KreinLadder.lean	InfoGeometry.Canonical.KreinLadder	2	1	1	1
0105	2026-02-22	lean/InfoGeometry/Core/UnifiedGeometry.lean	InfoGeometry.Core.UnifiedGeometry	2	1	1	13
0103	2026-02-21	lean/InfoGeometry/Core/SymmetricSpaces.lean	InfoGeometry.Core.SymmetricSpaces	1	1	1	14
0103	2026-02-21	lean/InfoGeometry/Core/Jordan.lean	InfoGeometry.Core.Jordan	1	1	1	14
0103	2026-02-21	lean/InfoGeometry/Core/DerivativesSmoke.lean	InfoGeometry.Core.DerivativesSmoke	1	1	1	14
0102	2026-02-22	lean/InfoGeometry/Core/SymmetricLie.lean	InfoGeometry.Core.SymmetricLie	1	1	1	13
0100	2026-02-27	lean/InfoGeometry/Core/Derivatives.lean	InfoGeometry.Core.Derivatives	2	1	1	8
0100	2026-02-27	lean/InfoGeometry/Canonical/SuperUnified.lean	InfoGeometry.Canonical.SuperUnified	2	1	0	8
0100	2026-02-27	lean/InfoGeometry/Canonical/GeneralizedKL.lean	InfoGeometry.Canonical.GeneralizedKL	2	1	0	8
0098	2026-02-25	lean/InfoGeometry/Assumptions/ManifoldHomology.lean	InfoGeometry.Assumptions.ManifoldHomology	4	1	0	10
0095	2026-02-25	lean/InfoGeometry/Clifford/Cl11.lean	InfoGeometry.Clifford.Cl11	9	3	0	10
0095	2026-02-25	lean/InfoGeometry/Assumptions/LLN.lean	InfoGeometry.Assumptions.LLN	3	1	0	10
0095	2026-02-25	lean/InfoGeometry/Assumptions/IB.lean	InfoGeometry.Assumptions.IB	3	1	0	10
0093	2026-02-22	lean/InfoGeometry/Convex/Bregman.lean	InfoGeometry.Convex.Bregman	8	1	0	13
0092	2026-02-28	lean/InfoGeometry/Clifford/SplitQ11.lean	InfoGeometry.Clifford.SplitQ11	9	3	0	7
0092	2026-02-22	lean/InfoGeometry/Clifford/Grading.lean	InfoGeometry.Clifford.Grading	7	3	0	13
0088	2026-03-02	lean/InfoGeometry/Canonical/All.lean	InfoGeometry.Canonical.All	1	0	0	5
0087	2026-03-06	lean/InfoGeometry/Krein/Metric.lean	InfoGeometry.Krein.Metric	10	6	0	1
0086	2026-02-25	lean/InfoGeometry/Assumptions/ManifoldDegree.lean	InfoGeometry.Assumptions.ManifoldDegree	2	0	0	10
0086	2026-02-25	lean/InfoGeometry/Assumptions/Determinant.lean	InfoGeometry.Assumptions.Determinant	2	0	0	10
0083	2026-02-25	lean/InfoGeometry/Assumptions/DualConnections.lean	InfoGeometry.Assumptions.DualConnections	1	0	0	10
0083	2026-02-21	lean/InfoGeometry/Core/Involution.lean	InfoGeometry.Core.Involution	3	0	0	14
0081	2026-03-06	lean/InfoGeometry/Canonical/RobustThermodynamicRegression.lean	InfoGeometry.Canonical.RobustThermodynamicRegression	0	0	0	1
